Wallet Name,Coin Name,Coin Symbol,Logo URL,Wallet Address
TANGEM GREY,etherium,ETH,,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,tether usdt trc20,USDT,,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,usdc etherium erc20,USDC,,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,tron trx,TRX,,TBji3hYNBRegRpqtPSTfVXr15Gqav327XV
TANGEM GREY,usdt trc20,USDT,,TBji3hYNBRegRpqtPSTfVXr15Gqav327XV
TANGEM GREY,xrp,,,rp1Qpzztt1GPtHyAnJBaZokQdYLFWpAEcA
TANGEM BLACK,bitcoin,,,bc1qgp4u7dgfadt0w9r72q2fl47vjxlg4hx0n6pdnn
TANGEM BLACK,etherium,ETH,,0xb0fC8BE08f3de447aD6434533e60ecAe576250c7
TANGEM BLACK,usdt etherium erc20,,,0xb0fC8BE08f3de447aD6434533e60ecAe576250c7
TANGEM BLACK,tron trx,TRX,,TTv5Fpw6xwCzQv9p32BMjEtJUjiNscDYQC
TANGEM BLACK,usdt trc20,USDT,,TTv5Fpw6xwCzQv9p32BMjEtJUjiNscDYQC
TANGEM BLACK,xrp,,,ruZzcbTEe233LxwuC8X2Y3mqFvL8N73Bc
TANGEM WHITE,bitcoin,,,bc1qu3t58j4xsygm0majj4n5zekrd5ty3xfj8jwn0k
TANGEM WHITE,etherium,ETH,,0x13B7606afa913A2B9b74836794Ef0c596E64BF
TANGEM WHITE,usdt erc20,,,0x13B7606afa913A2B9b74836794Ef0c596E64BFd4
TANGEM WHITE,usdt trc20,USDT,,TYUxtRDdfT7U6YkXVNREaHB25MLLTdJ7T
TANGEM WHITE,xrp,,,rMJ8cMFSBb8iqawkwqBgAWbuu14jWAyxEA
TANGEM WHITE,usdt trc20,USDT,,TYUxtRDdfT7U6YkXVNREaHB25MLLTdJ7Tf
