Wallet Name,Coin Name,Coin Symbol,Logo URL,Wallet Address
TANGEM GREY,etherium,ETH,https://cryptologos.cc/logos/ethereum-eth-logo.png,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,tether usdt trc20,USDT,https://cryptologos.cc/logos/tether-usdt-logo.png,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,usdc etherium erc20,USDC,https://cryptologos.cc/logos/usd-coin-usdc-logo.png,0x85D1405e051f268D18bc32E50197F9C0b499978c
TANGEM GREY,tron trx,TRX,https://cryptologos.cc/logos/tron-trx-logo.png,TBji3hYNBRegRpqtPSTfVXr15Gqav327XV
TANGEM GREY,usdt trc20,USDT,https://cryptologos.cc/logos/tether-usdt-logo.png,TBji3hYNBRegRpqtPSTfVXr15Gqav327XV
TANGEM GREY,xrp,NAN,,rp1Qpzztt1GPtHyAnJBaZokQdYLFWpAEcA
TANGEM BLACK,bitcoin,NAN,,bc1qgp4u7dgfadt0w9r72q2fl47vjxlg4hx0n6pdnn
TANGEM BLACK,etherium,ETH,https://cryptologos.cc/logos/ethereum-eth-logo.png,0xb0fC8BE08f3de447aD6434533e60ecAe576250c7
TANGEM BLACK,usdt etherium erc20,NAN,,0xb0fC8BE08f3de447aD6434533e60ecAe576250c7
TANGEM BLACK,tron trx,TRX,https://cryptologos.cc/logos/tron-trx-logo.png,TTv5Fpw6xwCzQv9p32BMjEtJUjiNscDYQC
TANGEM BLACK,usdt trc20,USDT,https://cryptologos.cc/logos/tether-usdt-logo.png,TTv5Fpw6xwCzQv9p32BMjEtJUjiNscDYQC
TANGEM BLACK,xrp,NAN,,ruZzcbTEe233LxwuC8X2Y3mqFvL8N73Bc
TANGEM WHITE,bitcoin,NAN,,bc1qu3t58j4xsygm0majj4n5zekrd5ty3xfj8jwn0k
TANGEM WHITE,etherium,ETH,https://cryptologos.cc/logos/ethereum-eth-logo.png,0x13B7606afa913A2B9b74836794Ef0c596E64BF
TANGEM WHITE,usdt erc20,NAN,,0x13B7606afa913A2B9b74836794Ef0c596E64BFd4
TANGEM WHITE,usdt trc20,USDT,https://cryptologos.cc/logos/tether-usdt-logo.png,TYUxtRDdfT7U6YkXVNREaHB25MLLTdJ7T
TANGEM WHITE,xrp,NAN,,rMJ8cMFSBb8iqawkwqBgAWbuu14jWAyxEA
TANGEM WHITE,usdt trc20,USDT,https://cryptologos.cc/logos/tether-usdt-logo.png,TYUxtRDdfT7U6YkXVNREaHB25MLLTdJ7Tf
,,NAN,,
